iter	Logloss
0	0.6395036315
1	0.5819441208
2	0.5382633817
3	0.4993446953
4	0.4760478232
5	0.4615574995
6	0.443099043
7	0.4345992893
8	0.4282150631
9	0.4127952123
10	0.3993897941
11	0.3906802186
12	0.383963735
13	0.374101002
14	0.3631621941
15	0.3552316057
16	0.3535263571
17	0.3484183931
18	0.3440272565
19	0.3366500256
20	0.3318886574
21	0.3317458408
22	0.3270518602
23	0.3239952673
24	0.320352169
25	0.3171294528
26	0.3123421011
27	0.3109869692
28	0.3073379991
29	0.303418064
30	0.3009780014
31	0.2982695457
32	0.2947507215
33	0.2919696817
34	0.2900909462
35	0.2884221824
36	0.2851738401
37	0.2810730703
38	0.2769947308
39	0.2748068818
40	0.2720414955
41	0.2694414575
42	0.2658914112
43	0.2647883902
44	0.2626959762
45	0.2605202551
46	0.2599908948
47	0.2585487747
48	0.2565003302
49	0.2538027754
50	0.2535114486
51	0.2515732298
52	0.2496031659
53	0.2474442476
54	0.2465321129
55	0.2453598773
56	0.2444017105
57	0.2419080714
58	0.2407873831
59	0.2364094536
60	0.2363331819
61	0.2342604853
62	0.2329302
63	0.2318382558
64	0.2314998938
65	0.2310382664
66	0.22942151
67	0.2277836087
68	0.2258461913
69	0.2241252745
70	0.2231814201
71	0.2220931763
72	0.2215631215
73	0.22022633
74	0.2184375783
75	0.2162488581
76	0.2138276102
77	0.2138226472
78	0.2137462094
79	0.2122590385
80	0.2118206634
81	0.209720906
82	0.2085638138
83	0.2072439131
84	0.2042521509
85	0.2034808517
86	0.2024148876
87	0.2012051211
88	0.2001872299
89	0.1995913874
90	0.1964757545
91	0.1948298797
92	0.1938212742
93	0.1927887828
94	0.1918868339
95	0.1905247173
96	0.1889231312
97	0.186898119
98	0.1859070867
99	0.1851141727
100	0.1839371175
101	0.1835539882
102	0.1824100482
103	0.1813456876
104	0.1809630429
105	0.1789727894
106	0.1786155988
107	0.1778984728
108	0.1757402001
109	0.1749291481
110	0.1733016553
111	0.171453154
112	0.1704444267
113	0.1698121134
114	0.1686429326
115	0.1678306091
116	0.167150805
117	0.165632135
118	0.1637629627
119	0.1628098131
120	0.1617548944
121	0.1607281101
122	0.1606363615
123	0.1598869524
124	0.1592139956
125	0.1580328915
126	0.1565235711
127	0.1555210595
128	0.1550879932
129	0.1544005215
130	0.1530766419
131	0.1521612935
132	0.1516771328
