iter	Passed	Remaining
0	65	13082
1	71	7100
2	76	5002
3	80	3948
4	85	3347
5	87	2841
6	92	2555
7	94	2259
8	95	2016
9	99	1893
10	105	1814
11	111	1740
12	115	1664
13	120	1596
14	124	1533
15	129	1486
16	131	1413
17	135	1365
18	138	1319
19	141	1271
20	144	1233
21	146	1181
22	149	1149
23	152	1118
24	155	1087
25	159	1069
26	162	1043
27	166	1023
28	169	1002
29	172	979
30	175	959
31	178	938
32	182	922
33	185	906
34	189	893
35	192	876
36	195	862
37	199	849
38	202	837
39	205	823
40	209	811
41	211	796
42	214	784
43	218	774
44	223	770
45	227	760
46	230	751
47	234	742
48	237	732
49	241	724
50	246	718
51	249	710
52	253	703
53	257	695
54	260	687
55	263	678
56	267	671
57	270	663
58	273	654
59	277	646
60	278	633
61	282	628
62	285	620
63	288	613
64	291	605
65	295	600
66	300	595
67	303	590
68	308	586
69	312	580
70	316	575
71	320	569
72	323	563
73	326	556
74	330	550
75	333	544
76	337	538
77	338	528
78	339	519
79	341	512
80	345	507
81	348	502
82	353	497
83	356	492
84	359	486
85	363	481
86	367	477
87	370	471
88	374	466
89	377	460
90	379	455
91	383	449
92	386	444
93	389	438
94	391	433
95	394	427
96	397	422
97	401	418
98	406	414
99	410	410
100	413	405
101	417	400
102	419	395
103	422	390
104	425	385
105	429	380
106	432	376
107	436	372
108	440	367
109	444	363
110	448	359
111	451	354
112	454	350
113	457	345
114	461	341
115	465	336
116	469	332
117	472	328
118	475	323
119	479	319
120	482	315
121	485	310
122	489	306
123	493	302
124	496	297
125	499	293
126	502	288
127	505	284
128	510	280
129	513	276
130	516	272
131	520	268
132	524	264
